Symbol,Name,Sector
003000,부광약품,제약
001270,부국증권,증권
001275,부국증권우,증권
026940,부국철강,금속
011390,부산산업,비금속
005030,부산주공,운송장비·부품
002070,비비안,섬유·의류
100220,비상교육,오락·문화
090460,비에이치,전기·전자
005180,빙그레,음식료·담배
003960,사조대림,음식료·담배
008040,사조동아원,음식료·담배
007160,사조산업,"농업, 임업 및 어업"
014710,사조씨푸드,음식료·담배
006090,사조오양,음식료·담배
062040,산일전기,전기·전자
001470,삼부토건,건설
028050,삼성E&A,일반서비스
448730,삼성FN리츠,부동산
006400,삼성SDI,전기·전자
006405,삼성SDI우,전기·전자
006660,삼성공조,운송장비·부품
028260,삼성물산,유통
02826K,삼성물산우B,유통
207940,삼성바이오로직스,제약
032830,삼성생명,보험
018260,삼성에스디에스,IT 서비스
009150,삼성전기,전기·전자
009155,삼성전기우,전기·전자
005930,삼성전자,전기·전자
005935,삼성전자우,전기·전자
001360,삼성제약,제약
010140,삼성중공업,운송장비·부품
016360,삼성증권,증권
068290,삼성출판사,오락·문화
029780,삼성카드,기타금융
000810,삼성화재,보험
000815,삼성화재우,보험
006110,삼아알미늄,금속
145990,삼양사,음식료·담배
145995,삼양사우,음식료·담배
003230,삼양식품,음식료·담배
002170,삼양통상,섬유·의류
272550,삼양패키징,화학
000070,삼양홀딩스,기타금융
000075,삼양홀딩스우,기타금융
003720,삼영,화학
002810,삼영무역,유통
005680,삼영전자,전기·전자
023000,삼원강재,운송장비·부품
004380,삼익THK,기계·장비
002450,삼익악기,기타제조
004440,삼일씨엔에스,비금속
000520,삼일제약,제약
009770,삼정펄프,종이·목재
005500,삼진제약,제약
004690,삼천리,전기·가스
010960,삼호개발,건설
004450,삼화왕관,금속
009470,삼화전기,전기·전자
011230,삼화전자,전기·전자
001820,삼화콘덴서,전기·전자
000390,삼화페인트,화학
001290,상상인증권,증권
041650,상신브레이크,운송장비·부품
075180,새론오토모티브,운송장비·부품
007540,샘표,기타금융
248170,샘표식품,음식료·담배
007860,서연,기타금융
200880,서연이화,운송장비·부품
017390,서울가스,전기·가스
004410,서울식품,음식료·담배
004415,서울식품우,음식료·담배
021050,서원,금속
008490,서흥,화학
007610,선도전기,전기·전자
136490,선진,음식료·담배
014910,성문전자,전기·전자
014915,성문전자우,전기·전자
003080,성보화학,화학
004980,성신양회,비금속
004985,성신양회우,비금속
011300,성안머티리얼스,섬유·의류
000180,성창기업지주,일반서비스
002420,세기상사,유통
004360,세방,운송·창고
004365,세방우,운송·창고
004490,세방전지,전기·전자
001430,세아베스틸지주,금속
306200,세아제강,금속
003030,세아제강지주,기타금융
019440,세아특수강,금속
058650,세아홀딩스,금속
013000,세우글로벌,유통
091090,세원이앤씨,금속
021820,세원정공,운송장비·부품
067830,세이브존I&C,유통
075580,세진중공업,운송장비·부품
068270,셀트리온,제약
336370,솔루스첨단소재,전기·전자
33637K,솔루스첨단소재1우,전기·전자
33637L,솔루스첨단소재2우B,전기·전자
248070,솔루엠,전기·전자
004430,송원산업,화학
126720,수산인더스트리,건설
017550,수산중공업,기계·장비
053210,스카이라이프,오락·문화
204210,스타에스엠리츠,부동산
026890,스틱인베스트먼트,기타금융
134790,시디즈,기타제조
462870,시프트업,IT 서비스
016590,신대양제지,종이·목재
029530,신도리코,전기·전자
004970,신라교역,"농업, 임업 및 어업"
011930,신성이엔지,전기·전자
005390,신성통상,유통
004170,신세계,유통
035510,신세계 I&C,IT 서비스
031430,신세계인터내셔날,유통
031440,신세계푸드,일반서비스
006880,신송홀딩스,유통
005800,신영와코루,섬유·의류
001720,신영증권,증권
009270,신원,섬유·의류
002700,신일전자,유통
002870,신풍,유통
019170,신풍제약,제약
019175,신풍제약우,제약
481850,신한글로벌액티브리츠,기타금융
404990,신한서부티엔디리츠,부동산
293940,신한알파리츠,부동산
055550,신한지주,기타금융
004080,신흥,유통
102280,쌍방울,섬유·의류
004770,써니전자,전기·전자
403550,쏘카,일반서비스
004920,씨아이테크,전기·전자
112610,씨에스윈드,금속
308170,씨티알모빌리티,운송장비·부품
008700,아남전자,전기·전자
002790,아모레G,화학
00279K,아모레G3우(전환),화학
002795,아모레G우,화학
090430,아모레퍼시픽,화학
090435,아모레퍼시픽우,화학
002030,아세아,일반서비스
183190,아세아시멘트,비금속
002310,아세아제지,종이·목재
012170,아센디오,오락·문화
267850,아시아나IDT,IT 서비스
020560,아시아나항공,운송·창고
122900,아이마켓코리아,유통
010780,아이에스동서,비금속
139990,아주스틸,금속
009320,아진전자부품,운송장비·부품
001780,알루코,금속
018250,애경산업,화학
161000,애경케미칼,화학
011090,에넥스,기타제조
137310,에스디바이오센서,의료·정밀기기
005850,에스엘,운송장비·부품
010580,에스엠벡셀,운송장비·부품
012750,에스원,일반서비스
023960,에쓰씨엔지니어링,건설
298690,에어부산,운송·창고
140910,에이리츠,부동산
078520,에이블씨엔씨,화학
015260,에이엔피,전기·전자
007460,에이프로젠,금속
003060,에이프로젠바이오로직스,제약
244920,에이플러스에셋,기타금융
278470,에이피알,화학
450080,에코프로머티,전기·전자
019490,엑시큐어하이트론,전기·전자
036570,엔씨소프트,IT 서비스
085310,엔케이,금속
900140,엘브이엠씨홀딩스,유통
066970,엘앤에프,전기·전자
097520,엠씨넥스,전기·전자
484870,엠앤씨솔루션,기계·장비
014440,영보화학,화학
111770,영원무역,유통
009970,영원무역홀딩스,기타금융
003520,영진약품,제약
000670,영풍,금속
006740,영풍제지,종이·목재
012280,영화금속,운송장비·부품
012160,영흥,금속
015360,예스코홀딩스,일반서비스
007310,오뚜기,음식료·담배
002630,오리엔트바이오,제약
271560,오리온,음식료·담배
001800,오리온홀딩스,기타금융
005320,온타이드,유통
011690,와이투솔루션,전기·전자
316140,우리금융지주,기타금융
006980,우성,음식료·담배
017370,우신시스템,기계·장비
105840,우진,의료·정밀기기
010400,우진아이엔에스,건설
049800,우진플라임,기계·장비
016880,웅진,일반서비스
095720,웅진씽크빅,일반서비스
005820,원림,섬유·의류
010600,웰바이오텍,유통
008600,윌비스,유통
033270,유나이티드제약,제약
014830,유니드,화학
446070,유니드비티플러스,종이·목재
000910,유니온,비금속
047400,유니온머티리얼,비금속
011330,유니켐,섬유·의류
077500,유니퀘스트,유통
002920,유성기업,운송장비·부품
000700,유수홀딩스,일반서비스
003470,유안타증권,증권
003475,유안타증권우,증권
072130,유엔젤,IT 서비스
000220,유유제약,제약
000225,유유제약1우,제약
000227,유유제약2우B,제약
001200,유진투자증권,증권
000100,유한양행,제약
000105,유한양행우,제약
003460,유화증권,증권
003465,유화증권우,증권
008730,율촌화학,화학
008250,이건산업,종이·목재
025820,이구산업,금속
214320,이노션,일반서비스
088260,이리츠코크렙,부동산
139480,이마트,유통
457190,이수스페셜티케미컬,화학
007660,이수페타시스,전기·전자
005950,이수화학,화학
015020,이스타코,부동산
093230,이아이디,유통
074610,이엔플러스,기계·장비
102460,이연제약,제약
084680,이월드,기타제조
350520,이지스레지던스리츠,부동산
334890,이지스밸류리츠,부동산
000760,이화산업,유통
014990,인디에프,섬유·의류
101140,인바이오젠,유통
006490,인스코비,통신
023800,인지컨트롤스,운송장비·부품
034590,인천도시가스,전기·가스
129260,인터지스,운송·창고
023810,인팩,운송장비·부품
249420,일동제약,제약
000230,일동홀딩스,제약
013360,일성건설,건설
003120,일성아이에스,제약
003200,일신방직,섬유·의류
007110,일신석재,유통
007570,일양약품,제약
007575,일양약품우,제약
008500,일정실업,섬유·의류
081000,일진다이아,화학
020760,일진디스플,전기·전자
103590,일진전기,전기·전자
271940,일진하이솔루스,운송장비·부품
015860,일진홀딩스,기타금융
226320,잇츠한불,화학
317400,자이에스앤디,부동산
033240,자화전자,전기·전자
000950,전방,섬유·의류
079900,전진건설로봇,기계·장비
348950,제이알글로벌리츠,부동산
194370,제이에스코퍼레이션,섬유·의류
025620,제이준코스메틱,화학
030000,제일기획,일반서비스
271980,제일약품,제약
001560,제일연마,비금속
002620,제일파마홀딩스,일반서비스
006220,제주은행,은행
089590,제주항공,운송·창고
004910,조광페인트,화학
004700,조광피혁,섬유·의류
001550,조비,화학
462520,조선내화,비금속
120030,조선선재,금속
018470,조일알미늄,금속
002600,조흥,음식료·담배
185750,종근당,제약
063160,종근당바이오,제약
001630,종근당홀딩스,제약
109070,주성코퍼레이션,전기·전자
044380,주연테크,전기·전자
013890,지누스,기타제조
013870,지엠비코리아,운송장비·부품
071320,지역난방공사,전기·가스
088790,진도,유통
003780,진양산업,화학
010640,진양폴리,화학
100250,진양홀딩스,화학
051630,진양화학,화학
272450,진에어,운송·창고
011000,진원생명과학,제약
002780,진흥기업,건설
002787,진흥기업2우B,건설
002785,진흥기업우B,건설
009310,참엔지니어링,기계·장비
000650,천일고속,운송·창고
012600,청호ICT,기계·장비
033250,체시스,운송장비·부품
035720,카카오,IT 서비스
323410,카카오뱅크,은행
377300,카카오페이,기타금융
006380,카프로,화학
001620,케이비아이동국실업,운송장비·부품
029460,케이씨,의료·정밀기기
281820,케이씨텍,의료·정밀기기
381970,케이카,유통
145270,케이탑리츠,부동산
417310,코람코더원리츠,부동산
357120,코람코라이프인프라리츠,부동산
007815,코리아써우,전기·전자
007810,코리아써키트,전기·전자
00781K,코리아써키트2우B,전기·전자
003690,코리안리,보험
192820,코스맥스,화학
044820,코스맥스비티아이,기타금융
005070,코스모신소재,화학
005420,코스모화학,화학
071950,코아스,기타제조
002020,코오롱,기타금융
138490,코오롱ENP,화학
